"Sector" "Source" "Month" "EmissCO2_MillMetricTons" "EnerCons_TrillBTU" "IPI" "MPI"
"301" "Commercial" "Coal" 1998-01-01 1.017 10.643 84.1564 83.8355
"302" "Commercial" "Coal" 1998-02-01 0.831 8.694 84.3066 83.9471
"303" "Commercial" "Coal" 1998-03-01 0.831 8.694 84.342 83.7769
"304" "Commercial" "Coal" 1998-04-01 0.711 7.445 84.6339 84.1489
"305" "Commercial" "Coal" 1998-05-01 0.493 5.159 85.1867 84.6157
"306" "Commercial" "Coal" 1998-06-01 0.581 6.082 84.6809 83.9391
"307" "Commercial" "Coal" 1998-07-01 0.66 6.91 84.3445 83.5088
"308" "Commercial" "Coal" 1998-08-01 0.632 6.61 86.0816 85.648
"309" "Commercial" "Coal" 1998-09-01 0.494 5.168 86.0023 85.5766
"310" "Commercial" "Coal" 1998-10-01 0.518 5.416 86.591 86.3166
"311" "Commercial" "Coal" 1998-11-01 0.864 9.046 86.5115 86.4231
"312" "Commercial" "Coal" 1998-12-01 1.297 13.569 86.8615 86.9318
"313" "Commercial" "Coal" 1999-01-01 1.341 14.078 87.2205 87.1748
"314" "Commercial" "Coal" 1999-02-01 1.005 10.55 87.726 87.9807
"315" "Commercial" "Coal" 1999-03-01 0.584 6.129 87.9125 87.955
"316" "Commercial" "Coal" 1999-04-01 0.839 8.815 88.1082 88.2945
"317" "Commercial" "Coal" 1999-05-01 0.514 5.401 88.6483 89.0293
"318" "Commercial" "Coal" 1999-06-01 0.599 6.289 88.5903 88.8223
"319" "Commercial" "Coal" 1999-07-01 0.814 8.553 89.1098 89.2473
"320" "Commercial" "Coal" 1999-08-01 0.658 6.912 89.5007 89.711
"321" "Commercial" "Coal" 1999-09-01 0.48 5.04 89.1304 89.31
"322" "Commercial" "Coal" 1999-10-01 0.609 6.399 90.2709 90.6591
"323" "Commercial" "Coal" 1999-11-01 0.849 8.918 90.7528 91.2719
"324" "Commercial" "Coal" 1999-12-01 1.47 15.44 91.4784 91.9373
"325" "Commercial" "Coal" 2000-01-01 1.131 11.865 91.4092 92.0039
"326" "Commercial" "Coal" 2000-02-01 0.843 8.842 91.7245 92.2528
"327" "Commercial" "Coal" 2000-03-01 0.654 6.862 92.083 92.8958
"328" "Commercial" "Coal" 2000-04-01 0.746 7.826 92.6659 93.5175
"329" "Commercial" "Coal" 2000-05-01 0.5 5.245 92.9347 93.5818
"330" "Commercial" "Coal" 2000-06-01 0.506 5.308 93.0018 93.7336
